analytical_customer_id,is_gold,amt_total,afford_amt_total,order_count
0-4ImcwasFRtaAquwJ2uYhwQ,False,86.0,0.0,1
0-4cZutO5WRNOZM4t5lHp_yQ,False,238.47,40.0,5
0-6kezqWu6RNW65Qqd9p-0KQ,False,320.0,0.0,1
0-QdgcyCbrT3Ca-wyteQXQzw,False,152.0,0.0,1
000rjpX6uhTU6gYcXqhmsbiA,False,190.0,70.0,1
0033araC2BQ_CzN5a7Vx7wdw,False,55.86,33.99,1
006EZkz65lSJ6pFrzZ6HmApw,False,3400.32,240.218,27
00PCBOg2e1Qp23ZLg06x_COQ,False,280.0,0.0,2
00eOfM-iIER0itC5-oOPTKBQ,False,866.8199999999999,0.0,3
017fSeZuYJTCuMC_ZEAxaYnQ,False,678.6,237.0,6
01gVYBpCkfQHC512pSduiH7A,True,873.0,60.0,11
027iTjlOYbQ2ODg-lDmScV9w,False,300.0,40.0,1
02RxVKliujTBiubjl4cIaZVQ,False,590.0,205.0,6
03AWfYPi91SViPOOPPBnmEow,True,8582.28,159.0,45
03uFBR5mJmTimAeI5Kn4tPwg,False,105.0,0.0,1
048QbO3OqST5OuTr3f-cuTrQ,False,240.43,70.0,1
04FWxCXStCQ3SSMUXh__xzrg,False,1544.22,431.0,8
04SiKwEu8NSkuJvYEAa7xekg,True,5673.36,414.99,29
04s24tMSZ0QjSsnYMDUzz-qA,False,760.4,337.0,9
05ItxbWeekS_eZdiWP_e5Deg,False,100.0,44.0,1
05ZI_BVyHpRxyab-V7UQAPuw,False,7420.52,142.84199999999998,65
05hWU_gmA2TtmDsyggbr4BwA,False,541.86,35.0,2
06OTJbsqe2T_qQYqsWXCQMRw,True,222.3,50.0,1
06SeZmgaejSJahQfgil36Neg,False,253.0,105.0,3
06VmZ5VKDxSjKD-9V33AJXpw,False,453.948,271.8,3
06ue8lZeuPR-eoZWZukJYBYw,True,225.0,75.0,1
06w8cR_mR9TDmzwO_wlsQHqw,False,548.0,0.0,3
07FgKfriOuTri4CbrPEY7qOw,False,90.0,40.0,1
07tFFc7upTRKuuZ27Y0eWuIg,False,156.499,54.2978,1
09Phac3mBcRZmGmW3NRjCsqw,False,347.0,197.0,3
0B3AaUJOLKSTOvE2J0Xoy-FA,False,1534.58,108.0,22
0Ba72dMuVeRjuDB4MBoMvGRQ,False,205.0,49.0,2
0C8bFckqGiQJqyzTkrA_5g0Q,False,999.0,105.0,6
0CM-H84icESbiqcq4Irppaow,False,50.0,0.0,1
0CNiYdIGjTRSGmQJI6675Liw,False,240.0,36.0,1
0CdEOzTelmQpe7MlTvqrx3TA,False,150.0,70.0,1
0DURHpGGyhSsGNrMGto0LRtg,False,247.0,0.0,3
0Dd7gu1uZkR1uTYt1Z-pDIdg,False,39.0,0.0,1
0DgCpNo6lgSC6KeRoU_nRliA,False,466.0,0.0,1
0DnJuf1SzMR1SO1I1FxFV52g,False,278.99,0.0,1
0DxASe4eM7QQeIcB4g-Pr8yQ,False,70.0,0.0,1
0E4aeaICpRQ1CN42IPuzhyLw,False,237.69,0.0,1
0EIELeQKQXTwKfGVQ_-WARHw,False,1354.528,2.51,15
0ESWP19OepRCOPIl9jFypxtw,False,311.0,26.6,2
0EbueCHuV7Snu-K_HF9wl1jg,False,615.92,46.0,7
0EeQN5-CujS5CKTv-nJicSyQ,False,131.98,0.0,1
0EhOyrgmppRMm7kFgWIKAESA,False,290.40999999999997,192.5,2
0EiDPtwaCrSJarHiwjdwsWQQ,False,120.0,60.0,1
0FXjV1Pik2SMiY2SP6E4NEdw,False,686.0,46.0,6
0FwQ1kGK3TQAKIs-G__Js2_Q,False,1001.77,416.05,9
0GHOB_8CtvSSCjvh8prf_NNQ,False,1238.4,442.09799999999996,17
0HBYaMVC3IQVCAvrVo4IdGvg,True,2306.753,43.3,37
0HOq71POVORFOuEzPzy46X3g,False,255.0066,0.0,1
0Hc3e-LCQoSnCnOYLll9cnEw,False,754.92,0.0,2
0HfRZD6Sh3RMSnIg6hQWTwpQ,False,371.4,40.0,4
0HjhbKCybyQNyctiCeLxaMaw,False,773.49,252.5,7
0IlJT_2GYWQJGOX_2fnmQ27A,False,297.3,233.0,3
0IpVdl76w9Tk6-1k72BnQjqg,False,165.0,0.0,1
0Jvsg0T-BlQf-IDPTXd3MH6Q,False,730.16,62.8,6
0KIUi4DaoOQIaVWtDaKudChw,False,341.12,0.0,3
0KN3TVj-a_Rb--jNj5W7OBSw,False,749.28,178.0,7
0Kva0rJ-lVTJ-FWhJoqDpdJg,False,154.0,89.0,2
0KywoOSOCnRNOXadSIkmvl5Q,False,124.0,0.0,1
0LqSEgh6-JRm6aUghWTApQiw,False,987.6578,65.0,11
0MTAhL4e3NQ4eCbp4UIfNdSg,False,4567.64,82.24,16
0MghDX7WzDQgWY0I7INPIlDA,False,200.0,0.0,1
0Mr_Y7V-YGTK-xcdV7b_PTvA,False,4636.3,933.606,45
0Mw9oDkOgfTYO7CpkkOuje4g,False,3749.86,393.01,12
0N56y6biQ7TsiC2Zb9DzNbdw,False,1175.28,13.6,12
0NcHR-k6G9Sf6R9JkeaS_BAw,False,976.48,399.998,12
0O-Tkd1KcdTHKPCe1fY3pNCA,False,719.4,171.1,7
0OCMm6FqeqTEq9gXFm5tkbgg,False,59.519999999999996,0.0,2
0OI-6zyWlpR5WZNhynOhDprw,False,8344.9922,0.0,38
0OSxjYiix0TeivTtiRdMbuXg,False,119.15,18.828,2
0PXtR4CeRSRieVlRC2ovI7rw,False,125.0,70.0,1
0PmtE7vm9GSYmzkVvIG-Cohw,False,290.03,101.0,2
0Pt3QQ8eugQxeLCQ8OUTpoqg,False,607.86,80.0,5
0QEUVxneZtReeE5OnKAnX8PQ,False,124.95,0.0,1
0QHSg5feMYSOeQWXf-kNOLxA,False,143.64,70.0,1
0QZLwDjqnqQOqwbZjz36aEeQ,False,200.0,90.0,2
0Qs2OQuSb6RwSVv0udPsa3rQ,False,1256.07,330.0,15
0R8UN94ucRTnuG7Q4HY_JdOg,False,90.0,35.0,2
0RMjXojGLcROGu0qjARMs_rA,True,574.1086,69.99,8
0R_72uM-gLTs-klPMx261U4Q,False,80.0,40.0,1
0RuwPou22JSe2liouKnAX_8A,False,302.98,0.0,10
0RxQTW8iBGTYi4ln8OtOhKTg,False,11730.877199999999,1044.0,72
0SJoKk6qhbShqtH-67c_5OiA,False,498.0,0.0,3
0SU0aPi2gSRG2FLwixt4HSWg,False,585.0,114.798,3
0Sd2kSu6_gRX6yMWuxvgXbLQ,False,281.0,0.0,2
0Sgjrf-2-pQH2HtU-64GRuBQ,False,1183.701,193.5562,13
0SkFeVVKszQAKK8TVqpD9m_w,False,1741.3600000000001,171.4,12
0StGJKzWtUTwWkCBzu-zAn0Q,False,42.0,0.0,1
0SztDY3etYTSegkL3ytvF30Q,False,986.5999999999999,50.0,6
0T6Q1oeeKsQ4ecTUe3DMrqZw,False,2526.38,34.0,8
0TKo5Qj6DvRs6AoBjnxhPCGQ,False,277.97,8.5,8
0TRavJeKYRRWKRcoeOQYgf4Q,False,50.0,0.0,1
0TSL8PieSCQTeTmwiZUwX2IQ,False,1126.29,334.172,9
0UQWS7TekwTPeLN8TpehDBhA,False,206.0,0.0,1
0US_1QX-JBSX-M0lX-wl95Kg,False,376.7,115.0,6
0UhSjtwSoEQuSaX2wm977d6g,False,48.0,0.0,1
0V4LECW6CyRF6D-4We9Jx33A,False,100.0,0.0,1
0VRfi5q60ZQ96-3Pq_e_NJwQ,False,135.0,70.0,1
0VVk_Y2aKUQ8aDai22LEcgiw,False,325.0,281.0,2
0VyRb_USusSgS9fvUNOKm9rQ,False,95.0,0.0,1
0W1-WBOq-8SAqvgZOEVhAWiA,False,208.0,35.798,2
0WHD4VwSw9T2S3_OwFuq8D7Q,False,7428.21,441.46000000000004,28
0WIzHcam2SROmbu5aBgkomMQ,False,328.49,30.0,3
0WJ_LjPmmaRymCsfP-8C6wNw,False,456.0,20.75,5
0WW87ui62eQl6VD8iOAsN4OA,False,169.29,0.0,1
0X8yNefWkTTYW_s2f3gW8PzQ,False,745.9,20.0,10
0XPTipYiWHQni5GRYQNP_Aug,False,170.0,0.0,1
0XQDyckmveS7mj_9kQ2Fd6sQ,False,439.49,50.01,7
0Xve-_uunURNuytPug85M0Zw,False,460.0,0.0,3
0Ya_v7vmO8Remr7Cv9GBhTrw,False,3868.37,26.0,59
0Yd-f30egPSoe8T80ba9vh4Q,False,254.0,144.0,5
0_BDT7Qav-TWazQRQZpQ-nQA,False,258.4,62.5,4
0_IXLf-m0yRxmf7m-1oLW33Q,False,247.98,0.0,1
0_p7-q2CTSTqCLkq2sKZJIeA,False,24.0,0.0,1
0_uSktBmr5T9mosjB-T7Deug,False,284.0,0.0,2
0_v6SsYqgFQdqVBeYvC-9IKA,False,179.0,0.0,2
0_vRwkqCQPQICM3tqduryZ4A,False,837.74,25.0,9
0_viORimoASpm2V7iiv3EeCw,False,137.37,0.0,1
0a6xuVL2pKSl23WrLu1iM6KA,False,680.8199999999999,51.254000000000005,7
0abURoWC3bSJCB58Wl4AWicQ,False,518.0,0.0,2
0anb8Hg2o0R52YLbggnwb96Q,False,85.0,46.0,1
0b_csapObQSMOO6Tpv6rxrFQ,False,2191.04,15.56,26
0cA3ZJ_y89RLyxwR_wYU2JAQ,False,264.0,100.0,2
0d7WjmRy9KQZy-czRMEb_UFQ,False,60.0,30.0,1
0dGyEoEKp6S7KQ76Eub8-DbQ,False,60.0,2.0,2
0eCBTWCm69QfmurPCElurXnQ,False,60.0,0.0,1
0eH1BUMmYETamG_MMYG2zq1w,True,165.0,50.0,1
0eT7E0e-5xQs-aQneeWmUOiA,False,1344.99,19.996,6
0edKZ-5-QZSO-Mv650tBG2Fw,False,571.5,0.0,3
0euQvJviKTQqiOUmvUy_W4AQ,False,1463.72,0.5,16
0ev67l8i_4RGijTp8haMLuow,False,551.0,84.0,10
0fEZlOLemOQTex7CLVp-efMA,False,1702.68,432.0,6
0fLHh6UOykRdOYqOUlV0q0Bg,False,326.78,0.0,2
0fOR_YgixxQCiAJ4g0VWReuQ,True,1070.9,298.5,13
0fQQKyIiDuSTiEJYIuW1vJgw,False,414.0,100.0,2
0fatTw8yHhS4yw8Q8VVTOtpw,True,1371.0,450.0,15
0ffVwY86lBTy67Pk8JJIzUEA,False,307.0,105.0,4
0fj-LZymsPQPmqcJyXMeqo_A,False,973.0,20.0,2
0gUi7zTmjZTLm2CtT3gRfZvA,False,122.0,0.0,1
0gjlLj6C5eQYCU6B6yk6WzUw,False,2165.246,836.72,17
0hQL0QaaHRQ9a-uuaqUotuJQ,False,252.25,96.55,3
0hdkfxw-cfRm-Bc2wWZ2mPKg,False,109.0,0.0,1
0iACIN5-HGRb-TPt559cAtVQ,False,235.48,0.0,1
0imJjHfOztRXOsbAf68kTXYQ,False,114.0,75.0,1
0irgPKticxRvigkmtAa5h4DA,False,115.0,0.0,1
